93.54.402.226 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.981 (> 0.100 thold), f_keep = 0.181
93.54.402.353 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 1963.915 MiB)
93.55.682.944 I slot launch_slot_: id  0 | task 3877 | processing task, is_child = 0
93.57.151.373 I slot print_timing: id  0 | task 3877 | prompt eval time =     364.62 ms /    54 tokens (    6.75 ms per token,   148.10 tokens per second)
93.57.151.383 I slot print_timing: id  0 | task 3877 |        eval time =    1103.76 ms /    89 tokens (   12.54 ms per token,    79.73 tokens per second)
93.57.151.384 I slot print_timing: id  0 | task 3877 |       total time =    1468.38 ms /   143 tokens
93.57.151.385 I slot print_timing: id  0 | task 3877 |    graphs reused =       3583
93.57.151.426 I slot      release: id  0 | task 3877 | stop processing: n_tokens = 357, truncated = 0
93.57.809.605 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.583 (> 0.100 thold), f_keep = 0.524
93.57.810.396 I slot launch_slot_: id  0 | task 3968 | processing task, is_child = 0
93.59.257.938 I slot print_timing: id  0 | task 3968 | prompt eval time =     274.37 ms /   321 tokens (    0.85 ms per token,  1169.94 tokens per second)
93.59.257.948 I slot print_timing: id  0 | task 3968 |        eval time =    1173.11 ms /   105 tokens (   11.28 ms per token,    88.65 tokens per second)
93.59.257.948 I slot print_timing: id  0 | task 3968 |       total time =    1447.49 ms /   426 tokens
93.59.257.950 I slot print_timing: id  0 | task 3968 |    graphs reused =       3686
93.59.258.034 I slot      release: id  0 | task 3968 | stop processing: n_tokens = 425, truncated = 0
94.13.490.202 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.143 (> 0.100 thold), f_keep = 0.007
94.13.779.508 I slot launch_slot_: id  0 | task 4076 | processing task, is_child = 0
94.14.119.170 I slot print_timing: id  0 | task 4076 | prompt eval time =     256.05 ms /    21 tokens (   12.19 ms per token,    82.02 tokens per second)
94.14.119.180 I slot print_timing: id  0 | task 4076 |        eval time =      83.56 ms /     8 tokens (   11.94 ms per token,    83.77 tokens per second)
94.14.119.181 I slot print_timing: id  0 | task 4076 |       total time =     339.61 ms /    29 tokens
94.14.119.182 I slot print_timing: id  0 | task 4076 |    graphs reused =       3692
94.14.119.221 I slot      release: id  0 | task 4076 | stop processing: n_tokens = 28, truncated = 0
94.14.287.861 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 15629291247
94.14.621.967 I slot launch_slot_: id  0 | task 4087 | processing task, is_child = 0
94.15.688.650 I slot print_timing: id  0 | task 4087 | prompt eval time =     250.77 ms /   269 tokens (    0.93 ms per token,  1072.71 tokens per second)
94.15.688.675 I slot print_timing: id  0 | task 4087 |        eval time =     815.86 ms /    73 tokens (   11.33 ms per token,    88.25 tokens per second)
94.15.688.676 I slot print_timing: id  0 | task 4087 |       total time =    1066.62 ms /   342 tokens
94.15.688.677 I slot print_timing: id  0 | task 4087 |    graphs reused =       3763
94.15.688.726 I slot      release: id  0 | task 4087 | stop processing: n_tokens = 341, truncated = 0
94.15.860.775 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.635 (> 0.100 thold), f_keep = 0.774
94.15.861.494 I slot launch_slot_: id  0 | task 4163 | processing task, is_child = 0
94.17.380.388 I slot print_timing: id  0 | task 4163 | prompt eval time =     365.81 ms /   201 tokens (    1.82 ms per token,   549.47 tokens per second)
94.17.380.400 I slot print_timing: id  0 | task 4163 |        eval time =    1153.04 ms /   102 tokens (   11.42 ms per token,    87.59 tokens per second)
94.17.380.400 I slot print_timing: id  0 | task 4163 |       total time =    1518.84 ms /   303 tokens
